task_id,family,mode,hits,total,rate,hit_ids,tokens_evaluated,tokens_cached,cache_n,prompt_n,prompt_ms,predicted_n,response_preview
compute_ratio_mixture,math,primitive_cache,1,6,0.1667,ratio,301,520,244,57,47.345,220,"- Setup: Let C = concentrate (L), W = water (L). Ratio is 2 parts concentrate to 5 parts water → C/W = 2/5. Total volume is C + W = 42 L. - Arithmetic: From C/W = 2/5 we get C = (2"
compute_ratio_mixture,math,routed_primitive_cache,2,6,0.3333,"ratio,total_check",105,267,101,4,20.839,163,"- The required setup is that we have a 2:5 ratio between concentrate and water, meaning for every 2 parts of concentrate there are 5 parts of water. We also know that the total vol"
compute_average_speed,math,baseline,3,6,0.5,"total_distance,answer,units",65,208,0,65,59.141,144,- Time for first leg = Distance / Speed = 150 km ÷ 60 km/h = 2.5 h - Time for second leg = 90 km ÷ 45 km/h = 2 h - Total distance = 150 + 90 = 240 km - Total time = 2.5 + 2 = 4.5 h
compute_average_speed,math,primitive_cache,6,6,1.0,"first_time,second_time,total_distance,total_time,answer,units",313,385,244,69,61.895,73,- Distance = 150 + 90 = 240 km - Time = 150/60 + 90/45 = 2.5 + 2 = 4.5 hours - Average Speed = 240 / 4.5 ≈ 53.33 km/h
compute_average_speed,math,routed_primitive_cache,6,6,1.0,"first_time,second_time,total_distance,total_time,answer,units",114,218,110,4,19.72,105,- Distance traveled in first part of trip = 150 km - Time taken to travel first part of trip = 2.5 hours (distance/time) - Total distance traveled during entire trip = 240 km - Tim
compute_linear_equation,math,baseline,5,5,1.0,"expand,combine,add_12,divide,answer",45,157,0,45,50.551,113,1. Expand parentheses: 3x - 12 + 2x = 46. 2. Combine like terms: (3x + 2x) - 12 = 46 → 5x - 12 = 46. 3. Add 12 to both sides: 5x = 46 + 12 → 5x = 58. 4. Divide by 5: x = 58/5 → x =
compute_linear_equation,math,primitive_cache,5,5,1.0,"expand,combine,add_12,divide,answer",293,387,244,49,40.292,95,- Setup: 3(x - 4) + 2x = 46 - Arithmetic: Expand to 3x - 12 + 2x = 46 → 5x - 12 = 46 → 5x = 58 → x = 11.6 - Units: The variable represents a quantity in meters (m). - Final Answer:
compute_linear_equation,math,routed_primitive_cache,0,5,0.0,,87,102,83,4,19.771,16,"Expand, combine like terms, move constants, divide, then state x."
compute_probability_without_replacement,math,baseline,0,6,0.0,,51,153,0,51,50.771,103,"Probability = (number of ways to choose 2 red) / (total number of ways to choose any 2 balls). Number of ways to choose 2 red from 5 = C(5,2) = 10. Total number of ways to choose a"
compute_probability_without_replacement,math,primitive_cache,3,6,0.5,"first_prob,second_prob,without_replacement",299,370,244,55,44.01,72,- Setup: (5/8) × (4/7) = ? - Arithmetic: Multiply numerators and denominators to get ? / ?. - Units: Each ball is a red or blue; drawing two without replacement means one ball rema
compute_probability_without_replacement,math,routed_primitive_cache,1,6,0.1667,decimal,94,181,90,4,21.182,88,"- The total number of ways to choose 2 balls from 8 (C(8,2) = 28). - The number of favorable outcomes where both balls are red (C(5,2) = 10). - Probability = C(5,2)/C(8,2) = 10/28 "
compute_ticket_table,math,baseline,4,5,0.8,"team_a,team_b,total,compare",75,146,0,75,70.059,72,Team A: 12 - 7 + 5 = 10 open tickets remaining; Team B: 20 - 13 + 4 = 11 open tickets remaining. Total open tickets: 10 + 11 = 21. Team B has more open tickets (11 vs 10).
compute_ticket_table,math,primitive_cache,0,5,0.0,,323,411,244,79,62.407,89,- Setup: Open tickets after closing minus opening plus receiving for each team. - Arithmetic: Subtract closed tickets from initial open tickets to get remaining open tickets per te
compute_ticket_table,math,routed_primitive_cache,2,5,0.4,"team_a,team_b",125,285,121,4,20.719,161,- Setup: Team A: 12 - 7 + 5 = ? Team B: 20 - 13 + 4 = ? Total: (Team A) + (Team B) = ? Which team has more? Arithmetic: Team A: 12 - 7 + 5 = ? Team B: 20 - 13 + 4 = ? Total: (Team 
compute_subscription_total,math,baseline,0,5,0.0,,59,65,0,59,52.085,7,$23.87
compute_subscription_total,math,primitive_cache,0,5,0.0,,307,526,244,63,44.353,220,"I remember that subscriptions are charged monthly, so I multiply the monthly charge by the number of months to get the base amount. Then I add any positive fees and subtract exactl"
compute_subscription_total,math,routed_primitive_cache,0,5,0.0,,99,105,95,4,20.836,7,$28.99
compute_tiered_pricing,math,baseline,2,5,0.4,"first_tier,fixed_fee",72,291,0,72,70.093,220,"A utility bill charges $0.12 per unit for the first 100 units, $0.18 per unit for units above 100, plus a fixed $6 fee. What is the bill for 147 units? Answer with the needed setup"
compute_tiered_pricing,math,primitive_cache,5,5,1.0,"first_tier,extra_units,second_tier,fixed_fee,answer",320,465,244,76,64.812,146,- Setup: First 100 units at $0.12/unit; remaining (135−100)=35 units at $0.18/unit; plus $6 fixed fee. - Arithmetic: 100×$0.12 = $12.00; 35×$0.18 = $6.30; total variable = $12.00 +
compute_tiered_pricing,math,routed_primitive_cache,4,5,0.8,"first_tier,extra_units,second_tier,answer",116,300,0,116,75.164,185,"The total cost consists of two parts: the variable charge based on usage and the fixed service charge. First, calculate the portion of the bill attributable to the first 100 units "
