"ArchivePath","Source","MB"
"small-model-memory-lab\corpus\structural_primitives_lora_v0_1.tsv","C:\Projects\small-model-memory-lab\corpus\structural_primitives_lora_v0_1.tsv","0.08"
"small-model-memory-lab\data\dataset_mixture_candidates_v0_1\manifest.json","C:\Projects\small-model-memory-lab\data\dataset_mixture_candidates_v0_1\manifest.json","0.014"
"small-model-memory-lab\data\dataset_mixture_candidates_v0_1\cognitive_structural_25_75\manifest.json","C:\Projects\small-model-memory-lab\data\dataset_mixture_candidates_v0_1\cognitive_structural_25_75\manifest.json","0.002"
"small-model-memory-lab\data\dataset_mixture_candidates_v0_1\cognitive_structural_25_75\preview.json","C:\Projects\small-model-memory-lab\data\dataset_mixture_candidates_v0_1\cognitive_structural_25_75\preview.json","0.033"
"small-model-memory-lab\data\dataset_mixture_candidates_v0_1\cognitive_structural_25_75\train.jsonl","C:\Projects\small-model-memory-lab\data\dataset_mixture_candidates_v0_1\cognitive_structural_25_75\train.jsonl","1.754"
"small-model-memory-lab\data\dataset_mixture_candidates_v0_1\cognitive_structural_25_75\validation.jsonl","C:\Projects\small-model-memory-lab\data\dataset_mixture_candidates_v0_1\cognitive_structural_25_75\validation.jsonl","0.155"
"small-model-memory-lab\data\dataset_mixture_candidates_v0_1\cyber_structural_25_75\manifest.json","C:\Projects\small-model-memory-lab\data\dataset_mixture_candidates_v0_1\cyber_structural_25_75\manifest.json","0.001"
"small-model-memory-lab\data\dataset_mixture_candidates_v0_1\cyber_structural_25_75\preview.json","C:\Projects\small-model-memory-lab\data\dataset_mixture_candidates_v0_1\cyber_structural_25_75\preview.json","0.04"
"small-model-memory-lab\data\dataset_mixture_candidates_v0_1\cyber_structural_25_75\train.jsonl","C:\Projects\small-model-memory-lab\data\dataset_mixture_candidates_v0_1\cyber_structural_25_75\train.jsonl","1.87"
"small-model-memory-lab\data\dataset_mixture_candidates_v0_1\cyber_structural_25_75\validation.jsonl","C:\Projects\small-model-memory-lab\data\dataset_mixture_candidates_v0_1\cyber_structural_25_75\validation.jsonl","0.168"
"small-model-memory-lab\data\dataset_mixture_candidates_v0_1\q2_structural_amplifier\manifest.json","C:\Projects\small-model-memory-lab\data\dataset_mixture_candidates_v0_1\q2_structural_amplifier\manifest.json","0.002"
"small-model-memory-lab\data\dataset_mixture_candidates_v0_1\q2_structural_amplifier\preview.json","C:\Projects\small-model-memory-lab\data\dataset_mixture_candidates_v0_1\q2_structural_amplifier\preview.json","0.037"
"small-model-memory-lab\data\dataset_mixture_candidates_v0_1\q2_structural_amplifier\train.jsonl","C:\Projects\small-model-memory-lab\data\dataset_mixture_candidates_v0_1\q2_structural_amplifier\train.jsonl","2.363"
"small-model-memory-lab\data\dataset_mixture_candidates_v0_1\q2_structural_amplifier\validation.jsonl","C:\Projects\small-model-memory-lab\data\dataset_mixture_candidates_v0_1\q2_structural_amplifier\validation.jsonl","0.203"
"small-model-memory-lab\data\dataset_mixture_candidates_v0_1\routed_tri_structural_60\manifest.json","C:\Projects\small-model-memory-lab\data\dataset_mixture_candidates_v0_1\routed_tri_structural_60\manifest.json","0.002"
"small-model-memory-lab\data\dataset_mixture_candidates_v0_1\routed_tri_structural_60\preview.json","C:\Projects\small-model-memory-lab\data\dataset_mixture_candidates_v0_1\routed_tri_structural_60\preview.json","0.034"
"small-model-memory-lab\data\dataset_mixture_candidates_v0_1\routed_tri_structural_60\train.jsonl","C:\Projects\small-model-memory-lab\data\dataset_mixture_candidates_v0_1\routed_tri_structural_60\train.jsonl","1.952"
"small-model-memory-lab\data\dataset_mixture_candidates_v0_1\routed_tri_structural_60\validation.jsonl","C:\Projects\small-model-memory-lab\data\dataset_mixture_candidates_v0_1\routed_tri_structural_60\validation.jsonl","0.164"
"small-model-memory-lab\data\dataset_mixture_candidates_v0_1\routed_tri_structural_65\manifest.json","C:\Projects\small-model-memory-lab\data\dataset_mixture_candidates_v0_1\routed_tri_structural_65\manifest.json","0.002"
"small-model-memory-lab\data\dataset_mixture_candidates_v0_1\routed_tri_structural_65\preview.json","C:\Projects\small-model-memory-lab\data\dataset_mixture_candidates_v0_1\routed_tri_structural_65\preview.json","0.034"
"small-model-memory-lab\data\dataset_mixture_candidates_v0_1\routed_tri_structural_65\train.jsonl","C:\Projects\small-model-memory-lab\data\dataset_mixture_candidates_v0_1\routed_tri_structural_65\train.jsonl","1.913"
"small-model-memory-lab\data\dataset_mixture_candidates_v0_1\routed_tri_structural_65\validation.jsonl","C:\Projects\small-model-memory-lab\data\dataset_mixture_candidates_v0_1\routed_tri_structural_65\validation.jsonl","0.167"
"small-model-memory-lab\data\dataset_mixture_candidates_v0_1\stability_first_tri_70\manifest.json","C:\Projects\small-model-memory-lab\data\dataset_mixture_candidates_v0_1\stability_first_tri_70\manifest.json","0.002"
"small-model-memory-lab\data\dataset_mixture_candidates_v0_1\stability_first_tri_70\preview.json","C:\Projects\small-model-memory-lab\data\dataset_mixture_candidates_v0_1\stability_first_tri_70\preview.json","0.035"
"small-model-memory-lab\data\dataset_mixture_candidates_v0_1\stability_first_tri_70\train.jsonl","C:\Projects\small-model-memory-lab\data\dataset_mixture_candidates_v0_1\stability_first_tri_70\train.jsonl","2.078"
"small-model-memory-lab\data\dataset_mixture_candidates_v0_1\stability_first_tri_70\validation.jsonl","C:\Projects\small-model-memory-lab\data\dataset_mixture_candidates_v0_1\stability_first_tri_70\validation.jsonl","0.187"
"small-model-memory-lab\data\dataset_mixture_candidates_v0_2\manifest.json","C:\Projects\small-model-memory-lab\data\dataset_mixture_candidates_v0_2\manifest.json","0.011"
"small-model-memory-lab\data\dataset_mixture_candidates_v0_2\q2_amplifier_low_echo\manifest.json","C:\Projects\small-model-memory-lab\data\dataset_mixture_candidates_v0_2\q2_amplifier_low_echo\manifest.json","0.002"
"small-model-memory-lab\data\dataset_mixture_candidates_v0_2\q2_amplifier_low_echo\preview.json","C:\Projects\small-model-memory-lab\data\dataset_mixture_candidates_v0_2\q2_amplifier_low_echo\preview.json","0.035"
"small-model-memory-lab\data\dataset_mixture_candidates_v0_2\q2_amplifier_low_echo\train.jsonl","C:\Projects\small-model-memory-lab\data\dataset_mixture_candidates_v0_2\q2_amplifier_low_echo\train.jsonl","2.796"
"small-model-memory-lab\data\dataset_mixture_candidates_v0_2\q2_amplifier_low_echo\validation.jsonl","C:\Projects\small-model-memory-lab\data\dataset_mixture_candidates_v0_2\q2_amplifier_low_echo\validation.jsonl","0.242"
"small-model-memory-lab\data\dataset_mixture_candidates_v0_2\q3_routed_tri_68\manifest.json","C:\Projects\small-model-memory-lab\data\dataset_mixture_candidates_v0_2\q3_routed_tri_68\manifest.json","0.002"
"small-model-memory-lab\data\dataset_mixture_candidates_v0_2\q3_routed_tri_68\preview.json","C:\Projects\small-model-memory-lab\data\dataset_mixture_candidates_v0_2\q3_routed_tri_68\preview.json","0.037"
"small-model-memory-lab\data\dataset_mixture_candidates_v0_2\q3_routed_tri_68\train.jsonl","C:\Projects\small-model-memory-lab\data\dataset_mixture_candidates_v0_2\q3_routed_tri_68\train.jsonl","2.149"
"small-model-memory-lab\data\dataset_mixture_candidates_v0_2\q3_routed_tri_68\validation.jsonl","C:\Projects\small-model-memory-lab\data\dataset_mixture_candidates_v0_2\q3_routed_tri_68\validation.jsonl","0.188"
"small-model-memory-lab\data\dataset_mixture_candidates_v0_2\q3_stability_tri_72\manifest.json","C:\Projects\small-model-memory-lab\data\dataset_mixture_candidates_v0_2\q3_stability_tri_72\manifest.json","0.002"
"small-model-memory-lab\data\dataset_mixture_candidates_v0_2\q3_stability_tri_72\preview.json","C:\Projects\small-model-memory-lab\data\dataset_mixture_candidates_v0_2\q3_stability_tri_72\preview.json","0.036"
"small-model-memory-lab\data\dataset_mixture_candidates_v0_2\q3_stability_tri_72\train.jsonl","C:\Projects\small-model-memory-lab\data\dataset_mixture_candidates_v0_2\q3_stability_tri_72\train.jsonl","2.27"
"small-model-memory-lab\data\dataset_mixture_candidates_v0_2\q3_stability_tri_72\validation.jsonl","C:\Projects\small-model-memory-lab\data\dataset_mixture_candidates_v0_2\q3_stability_tri_72\validation.jsonl","0.198"
"small-model-memory-lab\data\dataset_mixture_candidates_v0_2\q4_boundary_pair_72_28\manifest.json","C:\Projects\small-model-memory-lab\data\dataset_mixture_candidates_v0_2\q4_boundary_pair_72_28\manifest.json","0.001"
"small-model-memory-lab\data\dataset_mixture_candidates_v0_2\q4_boundary_pair_72_28\preview.json","C:\Projects\small-model-memory-lab\data\dataset_mixture_candidates_v0_2\q4_boundary_pair_72_28\preview.json","0.039"
"small-model-memory-lab\data\dataset_mixture_candidates_v0_2\q4_boundary_pair_72_28\train.jsonl","C:\Projects\small-model-memory-lab\data\dataset_mixture_candidates_v0_2\q4_boundary_pair_72_28\train.jsonl","2.081"
"small-model-memory-lab\data\dataset_mixture_candidates_v0_2\q4_boundary_pair_72_28\validation.jsonl","C:\Projects\small-model-memory-lab\data\dataset_mixture_candidates_v0_2\q4_boundary_pair_72_28\validation.jsonl","0.185"
"small-model-memory-lab\data\dataset_mixture_candidates_v0_2\q4_generalist_pair_72_28\manifest.json","C:\Projects\small-model-memory-lab\data\dataset_mixture_candidates_v0_2\q4_generalist_pair_72_28\manifest.json","0.002"
"small-model-memory-lab\data\dataset_mixture_candidates_v0_2\q4_generalist_pair_72_28\preview.json","C:\Projects\small-model-memory-lab\data\dataset_mixture_candidates_v0_2\q4_generalist_pair_72_28\preview.json","0.036"
"small-model-memory-lab\data\dataset_mixture_candidates_v0_2\q4_generalist_pair_72_28\train.jsonl","C:\Projects\small-model-memory-lab\data\dataset_mixture_candidates_v0_2\q4_generalist_pair_72_28\train.jsonl","1.955"
"small-model-memory-lab\data\dataset_mixture_candidates_v0_2\q4_generalist_pair_72_28\validation.jsonl","C:\Projects\small-model-memory-lab\data\dataset_mixture_candidates_v0_2\q4_generalist_pair_72_28\validation.jsonl","0.173"
"small-model-memory-lab\data\ordo_rust_memory_lora_v0_1\manifest.json","C:\Projects\small-model-memory-lab\data\ordo_rust_memory_lora_v0_1\manifest.json","0.001"
"small-model-memory-lab\data\ordo_rust_memory_lora_v0_1\preview.json","C:\Projects\small-model-memory-lab\data\ordo_rust_memory_lora_v0_1\preview.json","0.066"
"small-model-memory-lab\data\ordo_rust_memory_lora_v0_1\train.jsonl","C:\Projects\small-model-memory-lab\data\ordo_rust_memory_lora_v0_1\train.jsonl","0.239"
"small-model-memory-lab\data\ordo_rust_memory_lora_v0_1\validation.jsonl","C:\Projects\small-model-memory-lab\data\ordo_rust_memory_lora_v0_1\validation.jsonl","0.029"
"small-model-memory-lab\data\ordo_rust_memory_lora_v0_2\manifest.json","C:\Projects\small-model-memory-lab\data\ordo_rust_memory_lora_v0_2\manifest.json","0"
"small-model-memory-lab\data\ordo_rust_memory_lora_v0_2\preview.json","C:\Projects\small-model-memory-lab\data\ordo_rust_memory_lora_v0_2\preview.json","0.01"
"small-model-memory-lab\data\ordo_rust_memory_lora_v0_2\train.jsonl","C:\Projects\small-model-memory-lab\data\ordo_rust_memory_lora_v0_2\train.jsonl","0.224"
"small-model-memory-lab\data\ordo_rust_memory_lora_v0_2\validation.jsonl","C:\Projects\small-model-memory-lab\data\ordo_rust_memory_lora_v0_2\validation.jsonl","0.026"
"small-model-memory-lab\data\structural_primitive_lora_v0_1\manifest.json","C:\Projects\small-model-memory-lab\data\structural_primitive_lora_v0_1\manifest.json","0.001"
"small-model-memory-lab\data\structural_primitive_lora_v0_1\preview.json","C:\Projects\small-model-memory-lab\data\structural_primitive_lora_v0_1\preview.json","0.038"
"small-model-memory-lab\data\structural_primitive_lora_v0_1\train.jsonl","C:\Projects\small-model-memory-lab\data\structural_primitive_lora_v0_1\train.jsonl","0.87"
"small-model-memory-lab\data\structural_primitive_lora_v0_1\validation.jsonl","C:\Projects\small-model-memory-lab\data\structural_primitive_lora_v0_1\validation.jsonl","0.077"
"small-model-memory-lab\data\structural_primitive_lora_v0_2\manifest.json","C:\Projects\small-model-memory-lab\data\structural_primitive_lora_v0_2\manifest.json","0.001"
"small-model-memory-lab\data\structural_primitive_lora_v0_2\preview.json","C:\Projects\small-model-memory-lab\data\structural_primitive_lora_v0_2\preview.json","0.038"
"small-model-memory-lab\data\structural_primitive_lora_v0_2\train.jsonl","C:\Projects\small-model-memory-lab\data\structural_primitive_lora_v0_2\train.jsonl","0.333"
"small-model-memory-lab\data\structural_primitive_lora_v0_2\validation.jsonl","C:\Projects\small-model-memory-lab\data\structural_primitive_lora_v0_2\validation.jsonl","0.039"
"small-model-memory-lab\docs\ARCHITECTURE_NOTES.md","C:\Projects\small-model-memory-lab\docs\ARCHITECTURE_NOTES.md","0.007"
"small-model-memory-lab\docs\DATASET_FAMILY_ABLATION.md","C:\Projects\small-model-memory-lab\docs\DATASET_FAMILY_ABLATION.md","0.007"
"small-model-memory-lab\docs\DATASET_MIXTURE_CANDIDATES_V0_1.md","C:\Projects\small-model-memory-lab\docs\DATASET_MIXTURE_CANDIDATES_V0_1.md","0.005"
"small-model-memory-lab\docs\DATASET_MIXTURE_CANDIDATES_V0_2.md","C:\Projects\small-model-memory-lab\docs\DATASET_MIXTURE_CANDIDATES_V0_2.md","0.008"
"small-model-memory-lab\docs\EXHAUSTIVE_STACK_SWEEP.md","C:\Projects\small-model-memory-lab\docs\EXHAUSTIVE_STACK_SWEEP.md","0.006"
"small-model-memory-lab\docs\EXPERIMENT_REPORT.md","C:\Projects\small-model-memory-lab\docs\EXPERIMENT_REPORT.md","0.012"
"small-model-memory-lab\docs\FINDINGS_2026_06_06_LIVE_MEMORY_AND_LORA.md","C:\Projects\small-model-memory-lab\docs\FINDINGS_2026_06_06_LIVE_MEMORY_AND_LORA.md","0.006"
"small-model-memory-lab\docs\HYBRID_DATASET_COUPLING_SIM.md","C:\Projects\small-model-memory-lab\docs\HYBRID_DATASET_COUPLING_SIM.md","0.003"
"small-model-memory-lab\docs\HYBRID_LORA_GEOMETRY_SIM.md","C:\Projects\small-model-memory-lab\docs\HYBRID_LORA_GEOMETRY_SIM.md","0.004"
"small-model-memory-lab\docs\KAGGLE_WORKFLOW.md","C:\Projects\small-model-memory-lab\docs\KAGGLE_WORKFLOW.md","0.01"
"small-model-memory-lab\docs\LIVE_LORA_PROMPT_MATRIX.md","C:\Projects\small-model-memory-lab\docs\LIVE_LORA_PROMPT_MATRIX.md","0.005"
"small-model-memory-lab\docs\LIVE_MEMORY_PROMPT_BENCHMARK.md","C:\Projects\small-model-memory-lab\docs\LIVE_MEMORY_PROMPT_BENCHMARK.md","0.005"
"small-model-memory-lab\docs\METHODS.md","C:\Projects\small-model-memory-lab\docs\METHODS.md","0.007"
"small-model-memory-lab\docs\ORDO_RUST_MEMORY_LORA.md","C:\Projects\small-model-memory-lab\docs\ORDO_RUST_MEMORY_LORA.md","0.001"
"small-model-memory-lab\docs\PRIMITIVE_SELF_REINFORCEMENT.md","C:\Projects\small-model-memory-lab\docs\PRIMITIVE_SELF_REINFORCEMENT.md","0.005"
"small-model-memory-lab\docs\RUN_INDEX.md","C:\Projects\small-model-memory-lab\docs\RUN_INDEX.md","0.008"
"small-model-memory-lab\docs\RUST_CODER_MEMORY_FINDINGS.md","C:\Projects\small-model-memory-lab\docs\RUST_CODER_MEMORY_FINDINGS.md","0.026"
"small-model-memory-lab\docs\STRUCTURAL_PRIMITIVE_LORA_DATASET.md","C:\Projects\small-model-memory-lab\docs\STRUCTURAL_PRIMITIVE_LORA_DATASET.md","0.003"
"small-model-memory-lab\docs\THREE_DATASET_STACK_SIM.md","C:\Projects\small-model-memory-lab\docs\THREE_DATASET_STACK_SIM.md","0.005"
"small-model-memory-lab\kaggle_notebooks\instruct_eval\eval_instruct_baseline.py","C:\Projects\small-model-memory-lab\kaggle_notebooks\instruct_eval\eval_instruct_baseline.py","0.01"
"small-model-memory-lab\kaggle_notebooks\instruct_eval\kernel-metadata.json","C:\Projects\small-model-memory-lab\kaggle_notebooks\instruct_eval\kernel-metadata.json","0"
"small-model-memory-lab\kaggle_notebooks\instruct_lora_eval\eval_instruct_plus_lora.py","C:\Projects\small-model-memory-lab\kaggle_notebooks\instruct_lora_eval\eval_instruct_plus_lora.py","0.011"
"small-model-memory-lab\kaggle_notebooks\instruct_lora_eval\kernel-metadata.json","C:\Projects\small-model-memory-lab\kaggle_notebooks\instruct_lora_eval\kernel-metadata.json","0.001"
"small-model-memory-lab\kaggle_notebooks\lora_train\kernel-metadata.json","C:\Projects\small-model-memory-lab\kaggle_notebooks\lora_train\kernel-metadata.json","0"
"small-model-memory-lab\kaggle_notebooks\lora_train\train_rust_cyber_lora.py","C:\Projects\small-model-memory-lab\kaggle_notebooks\lora_train\train_rust_cyber_lora.py","0.018"
"small-model-memory-lab\kaggle_notebooks\lora_train_4b\kernel-metadata.json","C:\Projects\small-model-memory-lab\kaggle_notebooks\lora_train_4b\kernel-metadata.json","0"
"small-model-memory-lab\kaggle_notebooks\lora_train_4b\train_rust_cyber_lora_4b.py","C:\Projects\small-model-memory-lab\kaggle_notebooks\lora_train_4b\train_rust_cyber_lora_4b.py","0.019"
"small-model-memory-lab\kaggle_notebooks\lora_train_ordo_rust\kernel-metadata.json","C:\Projects\small-model-memory-lab\kaggle_notebooks\lora_train_ordo_rust\kernel-metadata.json","0"
"small-model-memory-lab\kaggle_notebooks\lora_train_ordo_rust\train_ordo_rust_memory_lora.py","C:\Projects\small-model-memory-lab\kaggle_notebooks\lora_train_ordo_rust\train_ordo_rust_memory_lora.py","0.013"
"small-model-memory-lab\kaggle_notebooks\lora_train_structural\kernel-metadata.json","C:\Projects\small-model-memory-lab\kaggle_notebooks\lora_train_structural\kernel-metadata.json","0"
"small-model-memory-lab\kaggle_notebooks\lora_train_structural\train_structural_primitive_lora.py","C:\Projects\small-model-memory-lab\kaggle_notebooks\lora_train_structural\train_structural_primitive_lora.py","0.015"
"small-model-memory-lab\kaggle_notebooks\starter\kernel-metadata.json","C:\Projects\small-model-memory-lab\kaggle_notebooks\starter\kernel-metadata.json","0"
"small-model-memory-lab\kaggle_notebooks\starter\small_model_memory_home.py","C:\Projects\small-model-memory-lab\kaggle_notebooks\starter\small_model_memory_home.py","0.007"
"small-model-memory-lab\loras\README.md","C:\Projects\small-model-memory-lab\loras\README.md","0.002"
"small-model-memory-lab\loras\ordo-rust-memory-lora-v0-1\adapter_config.json","C:\Projects\small-model-memory-lab\loras\ordo-rust-memory-lora-v0-1\adapter_config.json","0.001"
"small-model-memory-lab\loras\ordo-rust-memory-lora-v0-1\adapter_model.safetensors","C:\Projects\small-model-memory-lab\loras\ordo-rust-memory-lora-v0-1\adapter_model.safetensors","66.55"
"small-model-memory-lab\loras\ordo-rust-memory-lora-v0-1\chat_template.jinja","C:\Projects\small-model-memory-lab\loras\ordo-rust-memory-lora-v0-1\chat_template.jinja","0.004"
"small-model-memory-lab\loras\ordo-rust-memory-lora-v0-1\README.md","C:\Projects\small-model-memory-lab\loras\ordo-rust-memory-lora-v0-1\README.md","0.005"
"small-model-memory-lab\loras\ordo-rust-memory-lora-v0-1\tokenizer.json","C:\Projects\small-model-memory-lab\loras\ordo-rust-memory-lora-v0-1\tokenizer.json","10.894"
"small-model-memory-lab\loras\ordo-rust-memory-lora-v0-1\tokenizer_config.json","C:\Projects\small-model-memory-lab\loras\ordo-rust-memory-lora-v0-1\tokenizer_config.json","0.001"
"small-model-memory-lab\loras\ordo-rust-memory-lora-v0-2\adapter_config.json","C:\Projects\small-model-memory-lab\loras\ordo-rust-memory-lora-v0-2\adapter_config.json","0.001"
"small-model-memory-lab\loras\ordo-rust-memory-lora-v0-2\adapter_model.safetensors","C:\Projects\small-model-memory-lab\loras\ordo-rust-memory-lora-v0-2\adapter_model.safetensors","66.55"
"small-model-memory-lab\loras\ordo-rust-memory-lora-v0-2\chat_template.jinja","C:\Projects\small-model-memory-lab\loras\ordo-rust-memory-lora-v0-2\chat_template.jinja","0.004"
"small-model-memory-lab\loras\ordo-rust-memory-lora-v0-2\README.md","C:\Projects\small-model-memory-lab\loras\ordo-rust-memory-lora-v0-2\README.md","0.005"
"small-model-memory-lab\loras\ordo-rust-memory-lora-v0-2\tokenizer.json","C:\Projects\small-model-memory-lab\loras\ordo-rust-memory-lora-v0-2\tokenizer.json","10.894"
"small-model-memory-lab\loras\ordo-rust-memory-lora-v0-2\tokenizer_config.json","C:\Projects\small-model-memory-lab\loras\ordo-rust-memory-lora-v0-2\tokenizer_config.json","0.001"
"small-model-memory-lab\loras\ordo-rust-memory-lora-v0-3\adapter_config.json","C:\Projects\small-model-memory-lab\loras\ordo-rust-memory-lora-v0-3\adapter_config.json","0.001"
"small-model-memory-lab\loras\ordo-rust-memory-lora-v0-3\adapter_model.safetensors","C:\Projects\small-model-memory-lab\loras\ordo-rust-memory-lora-v0-3\adapter_model.safetensors","33.299"
"small-model-memory-lab\loras\ordo-rust-memory-lora-v0-3\chat_template.jinja","C:\Projects\small-model-memory-lab\loras\ordo-rust-memory-lora-v0-3\chat_template.jinja","0.004"
"small-model-memory-lab\loras\ordo-rust-memory-lora-v0-3\README.md","C:\Projects\small-model-memory-lab\loras\ordo-rust-memory-lora-v0-3\README.md","0.005"
"small-model-memory-lab\loras\ordo-rust-memory-lora-v0-3\tokenizer.json","C:\Projects\small-model-memory-lab\loras\ordo-rust-memory-lora-v0-3\tokenizer.json","10.894"
"small-model-memory-lab\loras\ordo-rust-memory-lora-v0-3\tokenizer_config.json","C:\Projects\small-model-memory-lab\loras\ordo-rust-memory-lora-v0-3\tokenizer_config.json","0.001"
"small-model-memory-lab\loras\rust-cyber-memory-lora\adapter_config.json","C:\Projects\small-model-memory-lab\loras\rust-cyber-memory-lora\adapter_config.json","0.001"
"small-model-memory-lab\loras\rust-cyber-memory-lora\adapter_model.safetensors","C:\Projects\small-model-memory-lab\loras\rust-cyber-memory-lora\adapter_model.safetensors","66.55"
"small-model-memory-lab\loras\rust-cyber-memory-lora\chat_template.jinja","C:\Projects\small-model-memory-lab\loras\rust-cyber-memory-lora\chat_template.jinja","0.004"
"small-model-memory-lab\loras\rust-cyber-memory-lora\README.md","C:\Projects\small-model-memory-lab\loras\rust-cyber-memory-lora\README.md","0.001"
"small-model-memory-lab\loras\rust-cyber-memory-lora\tokenizer.json","C:\Projects\small-model-memory-lab\loras\rust-cyber-memory-lora\tokenizer.json","10.894"
"small-model-memory-lab\loras\rust-cyber-memory-lora\tokenizer_config.json","C:\Projects\small-model-memory-lab\loras\rust-cyber-memory-lora\tokenizer_config.json","0.001"
"small-model-memory-lab\loras\structural-primitive-lora-v0-2\adapter_config.json","C:\Projects\small-model-memory-lab\loras\structural-primitive-lora-v0-2\adapter_config.json","0.001"
"small-model-memory-lab\loras\structural-primitive-lora-v0-2\adapter_model.safetensors","C:\Projects\small-model-memory-lab\loras\structural-primitive-lora-v0-2\adapter_model.safetensors","66.55"
"small-model-memory-lab\loras\structural-primitive-lora-v0-2\chat_template.jinja","C:\Projects\small-model-memory-lab\loras\structural-primitive-lora-v0-2\chat_template.jinja","0.004"
"small-model-memory-lab\loras\structural-primitive-lora-v0-2\README.md","C:\Projects\small-model-memory-lab\loras\structural-primitive-lora-v0-2\README.md","0.001"
"small-model-memory-lab\loras\structural-primitive-lora-v0-2\tokenizer.json","C:\Projects\small-model-memory-lab\loras\structural-primitive-lora-v0-2\tokenizer.json","10.894"
"small-model-memory-lab\loras\structural-primitive-lora-v0-2\tokenizer_config.json","C:\Projects\small-model-memory-lab\loras\structural-primitive-lora-v0-2\tokenizer_config.json","0.001"
"small-model-memory-lab\runs\kaggle-mcp-tools.json","C:\Projects\small-model-memory-lab\runs\kaggle-mcp-tools.json","0.145"
"small-model-memory-lab\runs\kaggle-metadata-upload.log","C:\Projects\small-model-memory-lab\runs\kaggle-metadata-upload.log","0.002"
"small-model-memory-lab\runs\activation-steering-20260604-115247\aggregate.json","C:\Projects\small-model-memory-lab\runs\activation-steering-20260604-115247\aggregate.json","0.002"
"small-model-memory-lab\runs\activation-steering-20260604-115247\summary.csv","C:\Projects\small-model-memory-lab\runs\activation-steering-20260604-115247\summary.csv","0.028"
"small-model-memory-lab\runs\activation-steering-20260604-115247\compute-average-speed\baseline.response.txt","C:\Projects\small-model-memory-lab\runs\activation-steering-20260604-115247\compute-average-speed\baseline.response.txt","0.001"
"small-model-memory-lab\runs\activation-steering-20260604-115247\compute-average-speed\prompt.txt","C:\Projects\small-model-memory-lab\runs\activation-steering-20260604-115247\compute-average-speed\prompt.txt","0"
"small-model-memory-lab\runs\activation-steering-20260604-115247\compute-average-speed\steered_l14_s0.5.response.txt","C:\Projects\small-model-memory-lab\runs\activation-steering-20260604-115247\compute-average-speed\steered_l14_s0.5.response.txt","0.001"
"small-model-memory-lab\runs\activation-steering-20260604-115247\compute-average-speed\steered_l14_s1.response.txt","C:\Projects\small-model-memory-lab\runs\activation-steering-20260604-115247\compute-average-speed\steered_l14_s1.response.txt","0.001"
