task_id,family,mode,hits,total,rate,hit_ids,tokens_evaluated,tokens_cached,cache_n,prompt_n,prompt_ms,predicted_n,response_preview
compute_average_speed,math,routed_primitive_cache,6,6,1.0,"first_time,second_time,total_distance,total_time,answer,units",114,218,110,4,20.54,105,- Distance traveled in first part of trip = 150 km - Time taken to travel first part of trip = 2.5 hours (distance/time) - Total distance traveled during entire trip = 240 km - Tim
compute_linear_equation,math,baseline,5,5,1.0,"expand,combine,add_12,divide,answer",45,157,41,4,20.496,113,1. Expand parentheses: 3x - 12 + 2x = 46. 2. Combine like terms: (3x + 2x) - 12 = 46 → 5x - 12 = 46. 3. Add 12 to both sides: 5x = 46 + 12 → 5x = 58. 4. Divide by 5: x = 58/5 → x =
compute_linear_equation,math,primitive_cache,5,5,1.0,"expand,combine,add_12,divide,answer",293,387,244,49,46.208,95,- Setup: 3(x - 4) + 2x = 46 - Arithmetic: Expand to 3x - 12 + 2x = 46 → 5x - 12 = 46 → 5x = 58 → x = 11.6 - Units: The variable represents a quantity in meters (m). - Final Answer:
compute_linear_equation,math,routed_primitive_cache,0,5,0.0,,87,102,83,4,21.273,16,"Expand, combine like terms, move constants, divide, then state x."
compute_probability_without_replacement,math,baseline,1,6,0.1667,decimal,51,145,47,4,20.64,95,"- Setup: P(both red) = (number of ways to draw two reds)/(total number of ways to draw any two balls). - Arithmetic: numerator = C(5,2)=10; denominator = C(8,2)=28. - Units: each t"
compute_probability_without_replacement,math,primitive_cache,3,6,0.5,"first_prob,second_prob,without_replacement",299,370,244,55,45.616,72,- Setup: (5/8) × (4/7) = ? - Arithmetic: Multiply numerators and denominators to get ? / ?. - Units: Each ball is a red or blue; drawing two without replacement means one ball rema
compute_probability_without_replacement,math,routed_primitive_cache,1,6,0.1667,decimal,94,181,90,4,21.352,88,"- The total number of ways to choose 2 balls from 8 (C(8,2) = 28). - The number of favorable outcomes where both balls are red (C(5,2) = 10). - Probability = C(5,2)/C(8,2) = 10/28 "
compute_ticket_table,math,baseline,2,5,0.4,"team_a,team_b",75,294,71,4,21.78,220,- Setup: - Team A: Start = 12; Close = −7; Receive = +5 → Final = 12 − 7 + 5 = ? - Team B: Start = 20; Close = −13; Receive = +4 → Final = 20 − 13 + 4 = ? - Arithmetic: - Team A: 1
compute_ticket_table,math,primitive_cache,0,5,0.0,,323,411,244,79,64.607,89,- Setup: Open tickets after closing minus opening plus receiving for each team. - Arithmetic: Subtract closed tickets from initial open tickets to get remaining open tickets per te
compute_ticket_table,math,routed_primitive_cache,2,5,0.4,"team_a,team_b",125,285,121,4,19.733,161,- Setup: Team A: 12 - 7 + 5 = ? Team B: 20 - 13 + 4 = ? Total: (Team A) + (Team B) = ? Which team has more? Arithmetic: Team A: 12 - 7 + 5 = ? Team B: 20 - 13 + 4 = ? Total: (Team 
compute_subscription_total,math,baseline,0,5,0.0,,59,65,55,4,20.243,7,$23.87
compute_subscription_total,math,primitive_cache,0,5,0.0,,307,526,244,63,44.988,220,"I remember that subscriptions are charged monthly, so I multiply the monthly charge by the number of months to get the base amount. Then I add any positive fees and subtract exactl"
compute_subscription_total,math,routed_primitive_cache,0,5,0.0,,99,105,95,4,21.083,7,$28.99
compute_tiered_pricing,math,baseline,5,5,1.0,"first_tier,extra_units,second_tier,fixed_fee,answer",72,278,68,4,20.6,207,- Setup: - First 100 units at $0.12/unit → cost = 100 × 0.12 - Units from 101 to 135 (35 units) at $0.18/unit → cost = 35 × 0.18 - Fixed fee = $6 - Arithmetic: - Cost of first 100 
compute_tiered_pricing,math,primitive_cache,4,5,0.8,"first_tier,extra_units,second_tier,answer",320,500,244,76,62.931,181,- Setup: First 100 units at $0.12/unit; remaining (135−100)=35 units at $0.18/unit; plus $6 fixed fee. - Arithmetic: 100×$0.12 = $12.00; 35×$0.18 = $6.30; total variable = $12.00 +
compute_tiered_pricing,math,routed_primitive_cache,0,5,0.0,,116,123,0,116,71.828,8,$147.90
