substrate,quant,stack,trials,pass_rate,clean_pass_rate,mean_score,classified_rate,cascade_rate,echo_rate,avg_distractors,avg_missing_required,stability_score,top_failure
instruct,healthy_q6,tri_structural_heavy_65,6400,0.9259,0.7442,0.956,0.9905,0.0553,0.0359,0.1872,0.0552,0.7027,none
instruct,healthy_q8,baseline,6400,0.5936,0.517,0.7676,0.8409,0.0542,0.0134,0.1663,0.8472,0.4424,none
instruct,healthy_q8,cog_25_cyb_75,6400,0.8363,0.6508,0.9025,0.9537,0.0547,0.0802,0.1869,0.2839,0.5892,none
instruct,healthy_q8,cog_25_str_75,6400,0.9389,0.7837,0.9613,0.9869,0.0441,0.018,0.1642,0.0509,0.7513,none
instruct,healthy_q8,cog_40_cyb_60,6400,0.8402,0.6523,0.9025,0.9647,0.0589,0.0797,0.1927,0.2903,0.5888,none
instruct,healthy_q8,cog_40_str_60,6400,0.9409,0.7755,0.9636,0.9902,0.0425,0.0252,0.1695,0.0439,0.7419,none
instruct,healthy_q8,cog_50_cyb_50,6400,0.837,0.6475,0.9027,0.9712,0.0597,0.078,0.1994,0.2905,0.5835,none
instruct,healthy_q8,cog_50_str_50,6400,0.9352,0.7612,0.9601,0.9903,0.0483,0.033,0.1758,0.0503,0.7236,none
instruct,healthy_q8,cog_60_cyb_40,6400,0.8269,0.6444,0.8993,0.972,0.063,0.0778,0.1961,0.3058,0.5789,none
instruct,healthy_q8,cog_60_str_40,6400,0.9306,0.7441,0.9583,0.9881,0.05,0.0352,0.1834,0.0516,0.7048,none
instruct,healthy_q8,cog_75_cyb_25,6400,0.8277,0.6402,0.8953,0.9781,0.0561,0.072,0.1956,0.3484,0.5758,none
instruct,healthy_q8,cog_75_str_25,6400,0.9313,0.7389,0.9574,0.9908,0.0481,0.0427,0.1866,0.0614,0.6979,none
instruct,healthy_q8,cognitive_only,6400,0.7209,0.5772,0.8399,0.9386,0.0614,0.0489,0.2092,0.5759,0.5034,none
instruct,healthy_q8,cyb_25_str_75,6400,0.9437,0.7934,0.9644,0.9919,0.0428,0.0267,0.1511,0.048,0.7608,none
instruct,healthy_q8,cyb_40_str_60,6400,0.9428,0.7736,0.9637,0.9912,0.0391,0.0408,0.16,0.0523,0.7383,none
instruct,healthy_q8,cyb_50_str_50,6400,0.938,0.7586,0.9601,0.9872,0.0459,0.0525,0.1613,0.0553,0.7186,none
instruct,healthy_q8,cyb_60_str_40,6400,0.9317,0.7484,0.9582,0.9825,0.0462,0.0572,0.1658,0.0581,0.707,none
instruct,healthy_q8,cyb_75_str_25,6400,0.9183,0.7239,0.9492,0.9648,0.0494,0.0742,0.1694,0.0781,0.6768,none
instruct,healthy_q8,cyber_only,6400,0.757,0.5875,0.8598,0.9016,0.0587,0.077,0.1989,0.4225,0.5174,none
instruct,healthy_q8,structural_only,6400,0.9437,0.787,0.9636,0.9875,0.0402,0.0161,0.1613,0.0477,0.7565,none
instruct,healthy_q8,tri_boundary_heavy,6400,0.938,0.745,0.9619,0.9906,0.0453,0.0602,0.1653,0.0483,0.7037,none
instruct,healthy_q8,tri_cognitive_bridge,6400,0.9378,0.7495,0.9593,0.9862,0.0447,0.05,0.1758,0.0545,0.7093,none
instruct,healthy_q8,tri_cognitive_heavy,6400,0.9334,0.7378,0.9584,0.9895,0.0506,0.052,0.1845,0.0511,0.6949,none
instruct,healthy_q8,tri_cyber_heavy,6400,0.9333,0.7264,0.9598,0.9877,0.0481,0.0794,0.17,0.0491,0.68,none
instruct,healthy_q8,tri_equal_routed,6400,0.9373,0.748,0.9621,0.9906,0.0452,0.0608,0.1702,0.0455,0.7064,none
instruct,healthy_q8,tri_naive_equal_all_fire,6400,0.8995,0.5005,0.9227,0.9872,0.0684,0.312,0.2342,0.0491,0.3963,none
instruct,healthy_q8,tri_naive_structural_heavy_all_fire,6400,0.9108,0.5247,0.9288,0.9906,0.0595,0.2889,0.2222,0.0494,0.4288,none
instruct,healthy_q8,tri_structural_heavy_55,6400,0.9405,0.7625,0.9629,0.9889,0.0417,0.0461,0.1644,0.0477,0.7252,none
instruct,healthy_q8,tri_structural_heavy_60,6400,0.9381,0.7627,0.9619,0.9911,0.0444,0.0413,0.1633,0.0519,0.7254,none
instruct,healthy_q8,tri_structural_heavy_65,6400,0.9414,0.7697,0.9642,0.9905,0.0417,0.0417,0.1595,0.0439,0.7339,none
