task_id,family,mode,hits,total,rate,hit_ids,tokens_evaluated,tokens_cached,cache_n,prompt_n,prompt_ms,predicted_n,response_preview
compute_ratio_mixture,math,baseline,2,6,0.3333,"ratio,total_check",53,272,0,53,48.327,220,"A cleaning mix uses concentrate and water in a 2:5 ratio. If you need 42 liters total, how many liters of concentrate and water are needed? Answer with the needed setup, arithmetic"
compute_ratio_mixture,math,primitive_cache,3,6,0.5,"concentrate,water,total_check",255,304,198,57,42.89,50,"Concentrate: 2/7 of 42 liters, water: 5/7 of 42 liters, total: 42 liters, final: 12 liters concentrate and 30 liters water."
compute_average_speed,math,baseline,3,6,0.5,"total_distance,answer,units",65,216,0,65,49.73,152,- Time for first leg: 150 km ÷ 60 km/h = 2.5 h - Time for second leg: 90 km ÷ 45 km/h = 2 h - Total distance: 150 km + 90 km = 240 km - Total time: 2.5 h + 2 h = 4.5 h - Average sp
compute_average_speed,math,primitive_cache,3,6,0.5,"total_distance,answer,units",267,363,198,69,57.827,97,- Distance: 150 km + 90 km = 240 km - Time: 150 km ÷ 60 km/h = 2.5 h + 90 km ÷ 45 km/h = 2 h = 4.5 h - Average speed: 240 km ÷ 4.5 h = 53.33 km/h END ANSWER.
compute_linear_equation,math,baseline,5,5,1.0,"expand,combine,add_12,divide,answer",45,100,0,45,46.822,56,3(x - 4) + 2x = 46 3x - 12 + 2x = 46 5x - 12 = 46 5x = 58 x = 11.6
compute_linear_equation,math,primitive_cache,5,5,1.0,"expand,combine,add_12,divide,answer",247,308,198,49,39.639,62,3(x - 4) + 2x = 46; 3x - 12 + 2x = 46; 5x - 12 = 46; 5x = 58; x = 11.6.
compute_probability_without_replacement,math,baseline,5,6,0.8333,"first_prob,second_prob,multiply,simplified,decimal",51,183,0,51,46.996,133,- Setup: - P(both red) = P(first red) × P(second red | first red) - Arithmetic: - P(first red) = 5/8 - P(second red | first red) = 4/7 - P(both red) = (5/8) × (4/7) = 20/56 = 5/14 
compute_probability_without_replacement,math,primitive_cache,0,6,0.0,,253,271,198,55,39.495,19,"First probability times changed second probability, simplify, then give a decimal or percent."
compute_ticket_table,math,baseline,4,5,0.8,"team_a,team_b,total,compare",75,294,0,75,64.359,220,Team A: 12 - 7 + 5 = 10 open tickets Team B: 20 - 13 + 4 = 11 open tickets Total open tickets: 10 + 11 = 21 open tickets Team B has more open tickets. Team A: 12 - 7 + 5 = 10 open 
compute_ticket_table,math,primitive_cache,2,5,0.4,"team_a,team_b",277,327,198,79,57.861,51,Team A: 12 + 5 - 7 = 10 open tickets; Team B: 20 + 4 - 13 = 11 open tickets. Team A has 1 open ticket fewer.
compute_subscription_total,math,baseline,4,5,0.8,"monthly,six_months,setup,answer",59,132,0,59,47.478,74,$19.99 x 6 = $119.94 $119.94 + $14.95 = $134.89 $134.89 - $10 = $124.89 Total cost: $124.89
compute_subscription_total,math,primitive_cache,0,5,0.0,,261,333,198,63,43.134,73,"Monthly charge times months, add positive fees, subtract a credit exactly once, keep cents visible. Probability without replacement: first probability times changed second probabil"
compute_tiered_pricing,math,baseline,5,5,1.0,"first_tier,extra_units,second_tier,fixed_fee,answer",72,291,0,72,64.585,220,- Setup: - First 100 units: 100 × $0.12 = $12.00 - Units above 100: 135 − 100 = 35 units - Cost for 35 units: 35 × $0.18 = $6.30 - Fixed fee: $6.00 - Total bill: $12.00 + $6.30 + $
compute_tiered_pricing,math,primitive_cache,4,5,0.8,"first_tier,second_tier,fixed_fee,answer",274,371,198,76,58.187,98,First tier: 100 units × $0.12 = $12.00 Second tier: (135 − 100) units × $0.18 = 35 × $0.18 = $6.30 Fixed fee: $6.00 Total: $12.00 + $6.30 + $6.00 = $24.30
